X_Value,Voltage
0.5835,0.000289
0.584,0.000359
0.5845,0.000371
0.585,0.000416
0.5855,0.000456
0.586,0.000468
0.5865,0.00053
0.587,0.000553
0.5875,0.000611
0.588,0.000653
0.5885,0.000664
0.589,0.000735
0.5895,0.000747
0.59,0.000757
0.5905,0.000788
0.591,0.000855
0.5915,0.000961
0.592,0.001022
0.5925,0.001022
0.593,0.001046
0.5935,0.001084
0.594,0.001107
0.5945,0.001183
0.595,0.001247
0.5955,0.001291
0.596,0.001316
0.5965,0.001332
0.597,0.001401
0.5975,0.001417
0.598,0.00151
0.5985,0.001527
0.599,0.001566
0.5995,0.00163
0.6,0.001653
0.6005,0.00165
0.601,0.00173
0.6015,0.001758
0.602,0.001826
0.6025,0.001855
0.603,0.001916
0.6035,0.001958
0.604,0.00199
0.6045,0.002028
0.605,0.002075
0.6055,0.002112
0.606,0.002143
0.6065,0.002149
0.607,0.002293
0.6075,0.002278
0.608,0.002256
0.6085,0.002411
0.609,0.002375
0.6095,0.002394
0.61,0.002363
0.6105,0.002437
0.611,0.002454
0.6115,0.002472
0.612,0.002541
0.6125,0.002533
0.613,0.002575
0.6135,0.002542
0.614,0.002574
0.6145,0.00267
0.615,0.002629
0.6155,0.002691
0.616,0.002722
0.6165,0.002747
0.617,0.002787
0.6175,0.002768
0.618,0.00279
0.6185,0.002817
0.619,0.002807
0.6195,0.002784
0.62,0.002781
0.6205,0.002791
0.621,0.002842
0.6215,0.002837
0.622,0.002836
0.6225,0.002874
0.623,0.002867
0.6235,0.002889
0.624,0.002851
0.6245,0.002895
0.625,0.002855
0.6255,0.002881
0.626,0.002855
0.6265,0.002905
0.627,0.002874
0.6275,0.002917
0.628,0.002895
0.6285,0.002815
0.629,0.002855
0.6295,0.002729
0.63,0.002799
0.6305,0.00279
0.631,0.002849
0.6315,0.002736
0.632,0.002778
0.6325,0.002674
0.633,0.002738
0.6335,0.002641
0.634,0.002678
0.6345,0.00265
0.635,0.002661
0.6355,0.002651
0.636,0.002602
0.6365,0.002574
0.637,0.002521
0.6375,0.002565
0.638,0.002498
0.6385,0.002472
0.639,0.00245
0.6395,0.002396
0.64,0.002344
0.6405,0.002305
0.641,0.0023
0.6415,0.002287
0.642,0.002227
0.6425,0.002254
0.643,0.002231
0.6435,0.002208
0.644,0.002153
0.6445,0.002097
0.645,0.002092
0.6455,0.002066
0.646,0.002036
0.6465,0.001973
0.647,0.001966
0.6475,0.001926
0.648,0.001844
0.6485,0.001809
0.649,0.0018
0.6495,0.00169
0.65,0.001727
0.6505,0.001638
0.651,0.001602
0.6515,0.001599
0.652,0.001486
0.6525,0.001478
0.653,0.001366
0.6535,0.001367
0.654,0.001376
0.6545,0.001265
0.655,0.001229
0.6555,0.001208
0.656,0.00116
0.6565,0.00108
0.657,0.001051
0.6575,0.001015
0.658,0.000928
0.6585,0.000853
0.659,0.000851
0.6595,0.000768
0.66,0.000821
0.6605,0.000767
0.661,0.0007
0.6615,0.000639
0.662,0.000673
0.6625,0.000619
0.663,0.000574
0.6635,0.000493
0.664,0.00054
0.6645,0.000474
0.665,0.000451
0.6655,0.000374
0.666,0.000368
0.6665,0.000339
0.667,0.000277
0.6675,0.000196
0.668,0.000215
0.6685,0.00015
0.669,0.000102
0.6695,5.88E-05
0.67,7.18E-05
0.6705,5.64E-06
0.671,-3.13E-05
0.6715,-1.25E-05
0.672,-6.64E-05
0.6725,-0.00011
0.673,-0.000157
0.6735,-0.00017
0.674,-0.000195
0.6745,-0.000243
0.675,-0.000181
0.6755,-0.000236
0.676,-0.000216
0.6765,-0.000268
0.677,-0.000293
0.6775,-0.000301
0.678,-0.000378
0.6785,-0.000303
0.679,-0.000408
0.6795,-0.000421
0.68,-0.000435
0.6805,-0.000456
0.681,-0.000479
0.6815,-0.000465
0.682,-0.00048
0.6825,-0.000481
0.683,-0.000497
0.6835,-0.000487
0.684,-0.000464
0.6845,-0.000444
0.685,-0.000447
0.6855,-0.000393
0.686,-0.00044
0.6865,-0.000404
0.687,-0.000467
0.6875,-0.000498
0.688,-0.000469
0.6885,-0.000517
0.689,-0.000471
0.6895,-0.000471
0.69,-0.000482
0.6905,-0.000498
0.691,-0.000413
0.6915,-0.000431
0.692,-0.000458
0.6925,-0.000389
0.693,-0.000388
0.6935,-0.000317
0.694,-0.000369
0.6945,-0.000333
0.695,-0.000336
0.6955,-0.000289
0.696,-0.000375
0.6965,-0.00028
0.697,-0.000286
0.6975,-0.00029
0.698,-0.000239
0.6985,-0.000203
0.699,-0.000199
0.6995,-0.000207
0.7,-0.000155
0.7005,-0.000122
0.701,-1.45E-05
0.7015,-7.94E-05
0.702,-2.10E-05
0.7025,4.59E-05
0.703,8.93E-05
0.7035,9.00E-05
0.704,0.000109
